unit_nr,time_cycles,setting_1,setting_2,setting_3,s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,RUL_raw,RUL
1,1,-0.0007,-0.0004,100.0,0.23664013,0.3957054,0.3281669,0.7067688,0.24495602,0.11404174,0.3387515,0.696186,0.22728434,0.18713868,0.35925776,0.3146517,0.68178344,0.70788205,191,125
1,2,0.0019,-0.0003,100.0,0.2662571,0.3786731,0.33628082,0.7029004,0.24850333,0.11845922,0.31273317,0.72817785,0.2363001,0.18156295,0.34903443,0.30696195,0.6624093,0.6961264,190,125
1,3,-0.0043,0.0003,100.0,0.29419842,0.35585052,0.3407879,0.70341635,0.25007164,0.12396929,0.28280523,0.7532299,0.24245133,0.1769061,0.33563069,0.3040792,0.6445607,0.6842514,189,125
1,4,0.0007,0.0,100.0,0.31474802,0.335665,0.33827567,0.70662284,0.24532256,0.12903309,0.2573774,0.7632877,0.24378465,0.173503,0.32362074,0.30651084,0.6351966,0.6748472,188,125
1,5,-0.0019,-0.0002,100.0,0.32647914,0.32689384,0.32791644,0.70807165,0.233026,0.13192722,0.24227002,0.75885725,0.24082302,0.17063819,0.31550106,0.3104249,0.6376922,0.66857016,187,125
1,6,-0.0043,-0.0001,100.0,0.33052543,0.33147857,0.31256595,0.7034699,0.21759766,0.13165566,0.23628196,0.7468348,0.23632674,0.16747253,0.3100445,0.31261143,0.64867455,0.6657292,186,125
1,7,0.001,0.0001,100.0,0.32711205,0.3431626,0.29753593,0.69216275,0.20652267,0.12868837,0.23279297,0.7322784,0.23324601,0.16411981,0.30622774,0.31445876,0.6602553,0.66853744,185,125
1,8,-0.0034,0.0003,100.0,0.31661475,0.35250175,0.28770235,0.6788846,0.20520741,0.12492589,0.22597705,0.71482474,0.23244473,0.16188854,0.3062207,0.31927538,0.6661563,0.67899483,184,125
1,9,0.0008,0.0001,100.0,0.30441725,0.35256904,0.28516197,0.6708217,0.21431622,0.12238045,0.21638893,0.6938083,0.23256466,0.16219337,0.31218547,0.3272157,0.665971,0.6934774,183,125
1,10,-0.0033,0.0001,100.0,0.30079442,0.34255856,0.2887619,0.67117536,0.2309299,0.12159492,0.21100885,0.67347777,0.23226103,0.16485842,0.32151946,0.33511558,0.6641466,0.7021055,182,125
1,11,0.0018,-0.0003,100.0,0.31246725,0.32877594,0.2954136,0.6759852,0.25072992,0.12169787,0.21689864,0.6607638,0.23211987,0.1678044,0.32825726,0.34060353,0.66536266,0.69683146,181,125
1,12,0.0016,0.0002,100.0,0.33499086,0.3205773,0.30237547,0.67841136,0.26884702,0.12194567,0.23367967,0.6590922,0.23394513,0.16901307,0.329423,0.34371367,0.6702086,0.6802677,180,125
1,13,-0.0019,0.0004,100.0,0.35588446,0.32255247,0.3085906,0.67538553,0.28036368,0.122635715,0.25223994,0.665635,0.23861063,0.16857997,0.3280775,0.34432477,0.6739621,0.66397536,179,125
1,14,0.0009,-0.0,100.0,0.36585706,0.33128247,0.3136623,0.6692955,0.2820647,0.124409035,0.2616477,0.67387,0.2450971,0.16825962,0.3297579,0.341203,0.6695383,0.657412,178,125
1,15,-0.0018,-0.0003,100.0,0.36569518,0.3403733,0.31622362,0.6648999,0.2744153,0.1271637,0.25807202,0.6785036,0.25107053,0.16918464,0.33728933,0.33451006,0.65332294,0.6602174,177,125
1,16,0.0006,0.0005,100.0,0.36247337,0.3462984,0.31484324,0.66610885,0.26156434,0.12991178,0.24718492,0.6791702,0.25411168,0.1705432,0.34876388,0.32667542,0.6296052,0.66542804,176,125
1,17,0.0002,0.0002,100.0,0.36190775,0.34847367,0.31061488,0.67400956,0.24914464,0.13155076,0.23792243,0.68006605,0.25317985,0.1705667,0.35916862,0.32012665,0.6090883,0.66761667,175,125
1,18,-0.0031,-0.0001,100.0,0.36579385,0.347414,0.30679178,0.68552434,0.24155542,0.13171619,0.2343566,0.6855319,0.24943729,0.16853555,0.36374766,0.31611547,0.6017187,0.6664664,174,125
1,19,0.0032,-0.0003,100.0,0.3733611,0.3459884,0.304701,0.6940241,0.240187,0.13103217,0.23432356,0.6955865,0.24538268,0.1654879,0.36065188,0.31560242,0.60944355,0.6647166,173,125
1,20,-0.0037,0.0001,100.0,0.38148212,0.34994677,0.3017422,0.69326246,0.24325748,0.13041142,0.23521979,0.705793,0.24277629,0.1630264,0.35133243,0.31927368,0.6249344,0.6654404,172,125
1,21,-0.0012,0.0001,100.0,0.38554406,0.36335936,0.2949387,0.6823797,0.247403,0.12996957,0.23861355,0.71193135,0.24144633,0.16201721,0.3390363,0.32693622,0.63769835,0.67083186,171,125
1,22,0.0002,0.0,100.0,0.38333938,0.3837951,0.2852163,0.6672016,0.24999405,0.12894344,0.24766211,0.71501356,0.24051346,0.16257232,0.32703444,0.3381881,0.6420132,0.68089664,170,125
1,23,0.0034,-0.0003,100.0,0.3771011,0.40367398,0.27679804,0.6562076,0.2500872,0.12692918,0.26173013,0.72043675,0.24075137,0.16445222,0.3180528,0.3528546,0.63918364,0.6925928,169,125
1,24,-0.001,0.0003,100.0,0.36987096,0.41537264,0.27318886,0.6551191,0.24802728,0.124637954,0.2759238,0.7315089,0.24484076,0.1668815,0.31472474,0.3686956,0.633853,0.70123714,168,125
1,25,0.0023,-0.0004,100.0,0.36140513,0.41455254,0.27473456,0.6644415,0.24537872,0.12307459,0.2857898,0.74560714,0.25434902,0.1685679,0.31882274,0.37918878,0.63021743,0.70287365,167,125
1,26,0.0,0.0002,100.0,0.34922105,0.40184996,0.27915013,0.68049407,0.24453351,0.12258965,0.29078,0.75753033,0.26632512,0.16867071,0.3289295,0.37661478,0.6307634,0.6960503,166,125
1,27,-0.0012,-0.0004,100.0,0.3326619,0.38359296,0.28315,0.6979707,0.24665618,0.12307333,0.29294863,0.7640318,0.27419078,0.16755873,0.339945,0.35931632,0.6355217,0.68338925,165,125
1,28,-0.0024,0.0005,100.0,0.3150974,0.36891377,0.28428504,0.7127031,0.25000975,0.12444493,0.29402447,0.7636581,0.27351907,0.16616297,0.3461175,0.33478716,0.6417937,0.67158824,164,125
1,29,0.0012,-0.0001,100.0,0.30305776,0.36326838,0.28293422,0.7236009,0.25122815,0.1264915,0.29440346,0.7552755,0.26673618,0.16483057,0.34489694,0.31421825,0.6455959,0.6671574,163,125
1,30,-0.0022,0.0,100.0,0.30300063,0.36437696,0.2826828,0.732236,0.24797787,0.12836017,0.29377186,0.7394132,0.26086187,0.1633704,0.33839074,0.30448863,0.64380795,0.6708421,162,125
1,31,0.0014,0.0005,100.0,0.31676444,0.3650117,0.2875321,0.73987865,0.24020767,0.12864265,0.29209054,0.7198737,0.2604146,0.16211157,0.33212957,0.3049284,0.635903,0.67724276,161,125
1,32,0.0005,-0.0003,100.0,0.33882704,0.35917634,0.2982592,0.7454151,0.22983421,0.1264819,0.29002836,0.70253986,0.26338708,0.16213025,0.3322286,0.30980548,0.6251342,0.6808384,160,125
1,33,-0.0042,-0.0004,100.0,0.3582407,0.34559554,0.31170267,0.74718374,0.21991497,0.122778416,0.2877646,0.6929772,0.264291,0.16413853,0.34150407,0.31350964,0.61739945,0.6820906,159,125
1,34,0.0015,-0.0001,100.0,0.36462805,0.3271467,0.32314122,0.74605787,0.21354118,0.11999051,0.28367442,0.6946556,0.26026607,0.1675704,0.3562062,0.3145729,0.6166233,0.6866414,158,125
