unit_nr,time_cycles,setting_1,setting_2,setting_3,s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,RUL_raw,RUL
1,1,-0.0007,-0.0004,100.0,0.11465454,0.34652328,0.26092148,0.7954788,0.20410156,0.096710205,0.28839493,0.76234436,0.14697266,0.17805481,0.318676,0.20726013,0.7922096,0.8204994,191,125
1,2,0.0019,-0.0003,100.0,0.15390015,0.32221222,0.27148056,0.7900238,0.20800781,0.10144043,0.2559967,0.80255127,0.15917969,0.1722374,0.3049698,0.19613647,0.7661438,0.8040085,190,125
1,3,-0.0043,0.0003,100.0,0.19088745,0.28963852,0.27734375,0.79074097,0.21044922,0.10734177,0.21873474,0.83403015,0.16748047,0.16737747,0.28699112,0.19197083,0.7421303,0.7873535,189,125
1,4,0.0007,0.0,100.0,0.21810913,0.26082993,0.27407646,0.79528046,0.20458984,0.11275864,0.18706894,0.8466797,0.1694336,0.1638298,0.27088547,0.19548798,0.7295265,0.7741699,188,125
1,5,-0.0019,-0.0002,100.0,0.23364258,0.24831009,0.26059723,0.79732513,0.18847656,0.11585617,0.16826248,0.841095,0.16503906,0.16083908,0.25999832,0.20114899,0.73288727,0.7653618,187,125
1,6,-0.0043,-0.0001,100.0,0.23898315,0.2548561,0.24062157,0.7908249,0.16845703,0.11556625,0.16080475,0.82598877,0.15917969,0.15753555,0.25268173,0.20431137,0.7476616,0.76138306,186,125
1,7,0.001,0.0001,100.0,0.23449707,0.27153397,0.22106361,0.77484894,0.15429688,0.11238861,0.15645981,0.80770874,0.15478516,0.15404129,0.24756241,0.20698166,0.7632446,0.7653198,185,125
1,8,-0.0034,0.0003,100.0,0.22058105,0.28486252,0.20826912,0.7560959,0.15234375,0.108364105,0.1479721,0.78578186,0.1538086,0.15171051,0.24755096,0.2139473,0.771183,0.77998734,184,125
1,9,0.0008,0.0001,100.0,0.20440674,0.2849579,0.20496368,0.74472046,0.1640625,0.1056366,0.13603592,0.7593689,0.1538086,0.15203094,0.2555542,0.22543335,0.77093506,0.80029297,183,125
1,10,-0.0033,0.0001,100.0,0.19961548,0.27067184,0.20964813,0.74521637,0.18554688,0.10479736,0.1293335,0.7338104,0.1538086,0.15481186,0.2680664,0.23686218,0.7684822,0.8123932,182,125
1,11,0.0018,-0.0003,100.0,0.21508789,0.25099945,0.21830368,0.75200653,0.2109375,0.104904175,0.13666916,0.71784973,0.15332031,0.15788269,0.27710724,0.24480057,0.7701149,0.8050003,181,125
1,12,0.0016,0.0002,100.0,0.24493408,0.23929977,0.22736359,0.7554321,0.23486328,0.1051712,0.15756226,0.71572876,0.15576172,0.15914536,0.27866745,0.2492981,0.77663803,0.7817688,180,125
1,13,-0.0019,0.0004,100.0,0.272583,0.24211502,0.23544884,0.75115967,0.25,0.105911255,0.18067169,0.7239685,0.16210938,0.1586914,0.2768669,0.2501831,0.7816849,0.7589226,179,125
1,14,0.0009,-0.0,100.0,0.28579712,0.25457382,0.24204826,0.74256897,0.25195312,0.10780716,0.19239044,0.73431396,0.17089844,0.15835953,0.27911758,0.24566269,0.77573395,0.7497177,178,125
1,15,-0.0018,-0.0003,100.0,0.285614,0.26755524,0.2453804,0.7363434,0.2421875,0.11075592,0.18793488,0.74012756,0.17919922,0.15932465,0.2892151,0.2359848,0.7539177,0.75365067,177,125
1,16,0.0006,0.0005,100.0,0.28131104,0.2760086,0.24358368,0.73805237,0.22558594,0.11369705,0.17437744,0.7409668,0.18310547,0.1607399,0.30460358,0.22465134,0.72200394,0.7609558,176,125
1,17,0.0002,0.0002,100.0,0.2805786,0.27911377,0.23808289,0.7492142,0.20898438,0.11545563,0.16284561,0.74209595,0.1821289,0.16076279,0.31855774,0.21517944,0.694397,0.76402664,175,125
1,18,-0.0031,-0.0001,100.0,0.28573608,0.27759933,0.23310852,0.76548004,0.19970703,0.11562729,0.15840912,0.7489624,0.17675781,0.15864563,0.3246994,0.2093811,0.6844826,0.76241684,174,125
1,19,0.0032,-0.0003,100.0,0.29574585,0.2755661,0.23038673,0.7774887,0.1977539,0.11489487,0.15836334,0.76161194,0.17138672,0.15546799,0.320549,0.20863724,0.6948776,0.7599602,173,125
1,20,-0.0037,0.0001,100.0,0.30648804,0.28121567,0.22653961,0.77640533,0.20166016,0.114234924,0.15948105,0.7744293,0.16796875,0.1529007,0.30804825,0.2139473,0.7157173,0.7609749,172,125
1,21,-0.0012,0.0001,100.0,0.31188965,0.30035782,0.2176857,0.76103973,0.20703125,0.1137619,0.16370773,0.78215027,0.16601562,0.15184402,0.2915573,0.2250328,0.7328949,0.7685356,171,125
1,22,0.0002,0.0,100.0,0.30895996,0.329525,0.20503616,0.73960876,0.20996094,0.11266327,0.17497253,0.78601074,0.16503906,0.15242767,0.2754631,0.2413063,0.73869705,0.7826538,170,125
1,23,0.0034,-0.0003,100.0,0.3006897,0.3578987,0.19408035,0.7240753,0.21044922,0.110507965,0.19248962,0.79281616,0.16503906,0.15438843,0.26342392,0.26251984,0.73489,0.799057,169,125
1,24,-0.001,0.0003,100.0,0.2911377,0.37459564,0.18938446,0.7225342,0.20751953,0.1080513,0.21016312,0.80674744,0.17089844,0.15692139,0.25896072,0.2854309,0.72771835,0.8111801,168,125
1,25,0.0023,-0.0004,100.0,0.27990723,0.37342453,0.19139671,0.73571014,0.20458984,0.10637665,0.22245026,0.82444763,0.18359375,0.15867996,0.26445007,0.3006096,0.7228279,0.81347275,167,125
1,26,0.0,0.0002,100.0,0.26376343,0.35529327,0.19714165,0.7583771,0.20361328,0.105861664,0.22866058,0.83943176,0.20019531,0.15878677,0.2780075,0.29688644,0.72356415,0.8039017,166,125
1,27,-0.0012,-0.0004,100.0,0.2418518,0.32923508,0.2023468,0.78305054,0.20605469,0.10637665,0.23136139,0.8476105,0.2109375,0.1576271,0.29277802,0.27186584,0.7299652,0.7861481,165,125
1,28,-0.0024,0.0005,100.0,0.2185669,0.30828476,0.20382309,0.8038635,0.21044922,0.10784531,0.23270035,0.84713745,0.20996094,0.1561737,0.3010559,0.23638535,0.7384033,0.7695961,164,125
1,29,0.0012,-0.0001,100.0,0.2026062,0.30022812,0.20206451,0.819252,0.21191406,0.11003876,0.23317337,0.8365936,0.20117188,0.15478134,0.2994194,0.20663452,0.74352264,0.76338196,163,125
1,30,-0.0022,0.0,100.0,0.20254517,0.30181503,0.20173836,0.8314438,0.20751953,0.112033844,0.23238754,0.81666565,0.19238281,0.15325546,0.29069138,0.1925621,0.74111557,0.7685509,162,125
1,31,0.0014,0.0005,100.0,0.22076416,0.30271912,0.20804977,0.8422394,0.1977539,0.11233902,0.23029327,0.79211426,0.19189453,0.15194702,0.28229904,0.19319916,0.7304802,0.77752686,161,125
1,32,0.0005,-0.0003,100.0,0.25,0.29438782,0.22200584,0.8500519,0.18408203,0.11002731,0.22772598,0.77033997,0.19628906,0.15196228,0.28243256,0.20024872,0.71598816,0.7825699,160,125
1,33,-0.0042,-0.0004,100.0,0.27572632,0.27500534,0.23950005,0.8525543,0.17138672,0.10606384,0.22490692,0.75831604,0.1977539,0.15406036,0.29487228,0.20560837,0.70558167,0.78432465,159,125
1,34,0.0015,-0.0001,100.0,0.2841797,0.2486763,0.254385,0.8509674,0.16308594,0.103076935,0.2198143,0.76042175,0.19189453,0.15763855,0.31458282,0.20714569,0.70453644,0.79071045,158,125
1,35,0.0003,0.0002,100.0,0.269989,0.22235489,0.26192474,0.8490524,0.1616211,0.103515625,0.20982742,0.7761078,0.18261719,0.16119003,0.3298378,0.20829391,0.71001434,0.8066788,157,125
1,36,-0.0004,-0.0002,100.0,0.23876953,0.20321655,0.26102066,0.84770966,0.16699219,0.1077652,0.19511032,0.7984009,0.17529297,0.16344452,0.33125687,0.21256638,0.7134056,0.82697296,156,125
1,37,-0.0004,-0.0,100.0,0.20425415,0.19621658,0.25526237,0.8429642,0.17480469,0.11387253,0.17916489,0.8168335,0.17236328,0.16411972,0.31900787,0.2196083,0.7089348,0.8404503,155,125
1,38,-0.0018,-0.0002,100.0,0.18093872,0.2020607,0.2510414,0.83006287,0.18164062,0.11918259,0.16695404,0.8245392,0.1694336,0.16368103,0.3012886,0.22652054,0.70020294,0.84041977,154,125
1,39,-0.003,-0.0001,100.0,0.17520142,0.2179184,0.2529564,0.80823517,0.18652344,0.12245941,0.16334534,0.82347107,0.16552734,0.16255188,0.2875862,0.23134613,0.6980629,0.82925797,153,125
1,40,-0.0,-0.0004,100.0,0.18209839,0.23958206,0.26055145,0.78131866,0.1899414,0.12443161,0.17162323,0.8219757,0.16210938,0.16064072,0.28287506,0.23455048,0.709919,0.8143234,152,125
1,41,0.0033,0.0004,100.0,0.19161987,0.26132965,0.26938438,0.75551605,0.19140625,0.12642288,0.19098282,0.826004,0.16259766,0.15748596,0.2852745,0.23832703,0.73057175,0.802021,151,125
1,42,0.0005,-0.0004,100.0,0.19815063,0.27560806,0.27436256,0.7364197,0.19189453,0.1288948,0.2150116,0.8322296,0.16601562,0.1530304,0.2885971,0.24528885,0.7459717,0.796196,150,125
1,43,-0.0027,0.0005,100.0,0.20339966,0.2764778,0.27268982,0.72675323,0.19189453,0.13142014,0.23383331,0.8311615,0.17041016,0.14806747,0.28783417,0.25667572,0.7464371,0.7985382,149,125
1,44,-0.0001,0.0002,100.0,0.2102356,0.26443863,0.2653103,0.72589874,0.19482422,0.13318634,0.2396965,0.81684875,0.17480469,0.1437645,0.28286743,0.27013016,0.73459244,0.80768967,148,125
